feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Family.Enterobacteriaceae	treatment.group	B	-1.2213600696129	0.0437135571875368	10	10	2.90706990441216e-09	5.23272582794188e-07
Family.S24.7	treatment.group	B	0.825974226311366	0.0487549473226187	10	10	1.49500491149483e-07	1.34550442034535e-05
Genus.AF12	treatment.group	B	0.0319699758377376	0.00215001345885303	10	9	4.12309472624855e-07	2.09296083496912e-05
Genus.Rikenella	treatment.group	B	0.0106002593030089	0.000724055230933653	10	4	4.65102407770916e-07	2.09296083496912e-05
Family.Rikenellaceae	treatment.group	B	0.171164951079132	0.0126491465518283	10	10	8.54097727146077e-07	3.07475181772588e-05
Genus.Sutterella	treatment.group	B	0.0569904689830822	0.00495643221329631	10	10	2.96657808200721e-06	8.78791774606208e-05
Genus.Coprococcus	treatment.group	B	0.0432942625459047	0.00383621858084957	10	10	3.41752356791303e-06	8.78791774606208e-05
Family.Lachnospiraceae	treatment.group	B	0.181211882098844	0.0179697645058768	10	10	7.97244351811698e-06	0.000179379979157632
Genus.Prevotella	treatment.group	B	0.150604672595681	0.0167885998594532	10	10	1.89814432864066e-05	0.000285234056107848
Genus.Oscillospira	treatment.group	B	0.0889287578805828	0.00971043426956906	10	10	1.6301924112576e-05	0.000285234056107848
Genus.Flavobacterium	treatment.group	B	-0.0209158234056434	0.00233215426235897	10	6	1.90156037405232e-05	0.000285234056107848
Genus.Brevundimonas	treatment.group	B	-0.0118680448813266	0.00128416911598951	10	6	1.52431143410405e-05	0.000285234056107848
Genus.Acidaminobacter	treatment.group	B	-0.0272048972597801	0.00320364372022496	10	7	2.8350734243809e-05	0.000392548627991201
Genus.Odoribacter	treatment.group	B	0.157178911540006	0.0192226758695886	10	10	3.72995384568067e-05	0.00044759446148168
Genus.Zoogloea	treatment.group	B	-0.0649410572553254	0.00793271907661833	10	10	3.69799835632567e-05	0.00044759446148168
Genus.Ruminococcus	treatment.group	B	0.0565918206604517	0.00700068919400541	10	10	4.05111833935903e-05	0.00045575081317789
Genus.Dorea	treatment.group	B	0.0325620424550514	0.00409416670405546	10	10	4.55477589181422e-05	0.000482270388545035
Genus.Vogesella	treatment.group	B	-0.0174580830303204	0.00222391036571631	10	6	5.00216389797804e-05	0.000500216389797804
Order.Clostridiales	treatment.group	B	0.174227247014294	0.0225139165804965	10	10	5.54184571894991e-05	0.000525016962847886
Genus.Butyricicoccus	treatment.group	B	0.022677483643196	0.00315078248882258	10	6	9.26845747444028e-05	0.000794439212094881
Genus.PSB.M.3	treatment.group	B	-0.00773135478465404	0.00107266714592543	10	6	9.17669437227485e-05	0.000794439212094881
Family.Ruminococcaceae	treatment.group	B	0.0470461944488415	0.0066585371313048	10	10	0.000105529527180108	0.000863423404200885
Genus.Adlercreutzia	treatment.group	B	0.023348863588116	0.00351150630666953	10	8	0.000160933466032008	0.00125947929938093
Genus.Dehalobacterium	treatment.group	B	0.0151976688481253	0.0023328793216534	10	10	0.000185243055468154	0.00138932291601116
Genus.Hydrogenophaga	treatment.group	B	-0.0151555629059299	0.00234962357930767	10	6	0.000198266921525214	0.00142752183498154
Genus.Arcobacter	treatment.group	B	-0.0455166869966226	0.00874909521396882	10	8	0.000819950916045742	0.00546633944030495
Genus..Ruminococcus.	treatment.group	B	0.0547622847737199	0.0104925397006625	10	10	0.000803403766171032	0.00546633944030495
Genus.Lactobacillus	treatment.group	B	0.181971948284816	0.0354400799526025	10	10	0.000890988654921616	0.00552323820542116
Genus.Anaerostipes	treatment.group	B	0.019927876601826	0.00391234610486344	10	10	0.000937246204566974	0.00552323820542116
Genus.Clostridium	treatment.group	B	0.0113991063270235	0.00224320440244005	10	6	0.000951224357600311	0.00552323820542116
Genus.Wautersiella	treatment.group	B	-0.0101227104881125	0.00197237223744727	10	6	0.000893607389408469	0.00552323820542116
Genus.Acinetobacter	treatment.group	B	-0.0657348260688332	0.0131525936616175	10	8	0.00105564402254268	0.00593799762680256
Genus.Fusibacter	treatment.group	B	-0.0224250728938345	0.00464961288226422	10	7	0.00131632412477492	0.00717994977149957
Family.Erysipelotrichaceae	treatment.group	B	0.00952523676144394	0.00204718303762848	10	7	0.00163859710101044	0.0086749258288788
Genus.Allobaculum	treatment.group	B	0.0361526755820058	0.00789720914272656	10	10	0.00180696220143939	0.00929294846454541
Genus.Akkermansia	treatment.group	B	0.0821243249442611	0.018256330277687	10	10	0.00200632495938171	0.00931313344999069
Genus.Rheinheimera	treatment.group	B	-0.0239077260402703	0.00527393083036742	10	7	0.00191630142854015	0.00931313344999069
Genus.Anaeroplasma	treatment.group	B	0.019086397984373	0.004210713986172	10	8	0.00191723977857084	0.00931313344999069
Family.Bacteriovoracaceae	treatment.group	B	-0.0147853267049493	0.00328996105323231	10	7	0.00201784558083132	0.00931313344999069
Family.F16	treatment.group	B	0.063649634722288	0.0144690169608931	10	6	0.0022897236185182	0.00987972332746075
Genus.Candidatus.Arthromitus	treatment.group	B	0.0112996045788941	0.00256530011261936	10	6	0.00227216758303273	0.00987972332746075
Family.Peptococcaceae	treatment.group	B	0.0100069340713478	0.00227742422570079	10	6	0.00230526877640751	0.00987972332746075
Genus.Desulfovibrio	treatment.group	B	0.0228836571076398	0.00531610584554199	10	10	0.00259958135614797	0.0106994366429499
Order.RF32	treatment.group	B	0.0192321921203962	0.00447250353922495	10	9	0.00261541784605442	0.0106994366429499
Family..Mogibacteriaceae.	treatment.group	B	0.0198257006890602	0.00464545849812807	10	8	0.00273246743158342	0.0109298697263337
Family.Methylophilaceae	treatment.group	B	-0.00630218332622097	0.00165921311946573	10	5	0.0052493863696741	0.0205410770987247
Genus.Leuconostoc	treatment.group	B	0.00500434797056556	0.00134074332274315	10	3	0.00576688614644697	0.0220859469438395
