feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Family.Enterobacteriaceae	treatment.group	B	-1.2463569339909	0.0295288220248467	10	10	1.09406272377606e-10	1.41134091367111e-08
Family.S24.7	treatment.group	B	0.832648743023205	0.0237649259050496	10	10	4.81791050096019e-10	3.10755227311932e-08
Genus.AF12	treatment.group	B	0.0315276367798982	0.00159422836079845	10	9	4.45068694959835e-08	1.91379538832729e-06
Family.Peptococcaceae	treatment.group	B	0.00772331325720527	0.000541041654239776	10	4	5.6546888747889e-07	1.82363716211942e-05
Genus.Odoribacter	treatment.group	B	0.118657939291728	0.00983409026901174	10	10	2.05610560867763e-06	4.42062705865691e-05
Family.Lachnospiraceae	treatment.group	B	0.130248530488209	0.0105590605640094	10	10	1.73735838768143e-06	4.42062705865691e-05
Genus.Anaerostipes	treatment.group	B	0.0131678091659878	0.0011284982134739	10	4	2.65342253715837e-06	4.88987867562042e-05
Family.Rikenellaceae	treatment.group	B	0.170861722323898	0.0169799566424517	10	10	8.10190143123005e-06	0.000116127253847631
Genus.Hydrogenophaga	treatment.group	B	-0.0138702085314834	0.00136451175598452	10	6	7.51115271670536e-06	0.000116127253847631
Order.Clostridiales	treatment.group	B	0.137913511455232	0.0154929642382434	10	10	2.0088224591932e-05	0.000164254177507591
Genus.Arcobacter	treatment.group	B	-0.0509562977448215	0.0057353194501046	10	6	2.03726111637322e-05	0.000164254177507591
Genus.Oscillospira	treatment.group	B	0.0670597312740977	0.00753370697023215	10	10	2.00947474949698e-05	0.000164254177507591
Genus.Dorea	treatment.group	B	0.0251899844323772	0.00277937077183597	10	9	1.76014852711391e-05	0.000164254177507591
Family.Ruminococcaceae	treatment.group	B	0.0411239028725296	0.00460787136187542	10	10	1.97109775716484e-05	0.000164254177507591
Order.RF32	treatment.group	B	0.013609835680764	0.00144681859059863	10	10	1.33747876823581e-05	0.000164254177507591
Genus.Flavobacterium	treatment.group	B	-0.0222296469641763	0.00245787020748116	10	6	1.78743213435404e-05	0.000164254177507591
Genus.Zoogloea	treatment.group	B	-0.0635737452231171	0.00722823769324426	10	9	2.19412908802454e-05	0.00016649567785598
Genus.Sutterella	treatment.group	B	0.0794204051605664	0.00923255094232371	10	10	2.58045633800833e-05	0.00018493270422393
Genus.Prevotella	treatment.group	B	0.18442152426345	0.0227066639195265	10	10	3.91574460009859e-05	0.000265858449164588
Order.RF39	treatment.group	B	0.0307224345864949	0.00395784940093137	10	10	5.42166467922765e-05	0.000318699335286737
Genus.Acidaminobacter	treatment.group	B	-0.0239828236486041	0.00309906432859211	10	6	5.54141683476614e-05	0.000318699335286737
Genus.Rikenella	treatment.group	B	0.0139376144099353	0.00180735557998656	10	6	5.68223621053872e-05	0.000318699335286737
Genus.Chryseobacterium	treatment.group	B	-0.00850180303263846	0.00108747740697607	10	6	5.15202151838931e-05	0.000318699335286737
Genus.Brevundimonas	treatment.group	B	-0.0110830773355508	0.00147597932300699	10	6	6.86921281480771e-05	0.000369220188795914
Genus.Akkermansia	treatment.group	B	0.229637642943397	0.0316971011832212	10	10	8.85042339475347e-05	0.000456681847169279
Genus.Coprococcus	treatment.group	B	0.0337076000138375	0.00477354928644777	10	9	0.000105971580761053	0.000525782073775995
Genus.Clostridium	treatment.group	B	0.0133463215654393	0.00201437967041605	10	7	0.000164945472851033	0.000788072814732712
Order.YS2	treatment.group	B	0.0395286290358946	0.00620392617395448	10	10	0.000215580204451493	0.000993208799080091
Genus.Vogesella	treatment.group	B	-0.0162046440967233	0.00256650558492365	10	6	0.000229330618763384	0.0010201258558785
Genus.Lactobacillus	treatment.group	B	0.117828682675583	0.0187586603735498	10	10	0.000237531459106497	0.00102138527415794
Genus.Fusibacter	treatment.group	B	-0.0197755739514265	0.00325420000601582	10	6	0.000296930933594348	0.001235615820441
Family..Mogibacteriaceae.	treatment.group	B	0.0165783269295733	0.00274288399644892	10	7	0.000307914190109828	0.00124127907888024
Genus.Anaeroplasma	treatment.group	B	0.0177780793141446	0.00296987544816241	10	8	0.000328432297856109	0.00128387170980115
Genus.Acinetobacter	treatment.group	B	-0.0615357079882262	0.0105862958354422	10	9	0.000399311813217233	0.00151503599720656
Genus.Fluviicola	treatment.group	B	-0.00839859377068308	0.00147007082830595	10	6	0.000447597469499208	0.0016497163875828
Genus.PSB.M.3	treatment.group	B	-0.00680683830307066	0.00123581225309316	10	6	0.000568366341041986	0.00198160156741665
Family.Christensenellaceae	treatment.group	B	0.00766827949881922	0.00138756059970454	10	5	0.000556147719629038	0.00198160156741665
Family.Comamonadaceae	treatment.group	B	-0.0327216908083653	0.00610160336434879	10	7	0.000675400792733567	0.00229280795427974
Genus.Adlercreutzia	treatment.group	B	0.0204644788768396	0.00385545407455731	10	10	0.000721454064209084	0.00232668935707429
Genus.Butyricicoccus	treatment.group	B	0.0130323753357383	0.00244642572804741	10	8	0.000704977887361465	0.00232668935707429
Genus.Wautersiella	treatment.group	B	-0.0116671935671625	0.00221150510500043	10	6	0.000750117703038381	0.002360126431511
Genus..Ruminococcus.	treatment.group	B	0.0535141204693858	0.010498972587873	10	10	0.000933208130757006	0.00286628211589652
Family.F16	treatment.group	B	0.0406042518481309	0.00837068116431044	10	8	0.00127060987764878	0.00381182963294633
Genus.Cloacibacterium	treatment.group	B	-0.0100291963072091	0.00224375725205195	10	6	0.00208372194841964	0.00610909389423029
Genus.Rheinheimera	treatment.group	B	-0.0244630418755004	0.00559803133714996	10	6	0.00238068780291338	0.00682463836835169
Genus.Dehalobacterium	treatment.group	B	0.0136746198682061	0.00325391137989698	10	7	0.00298622502879336	0.00837441366770313
Genus.Candidatus.Arthromitus	treatment.group	B	0.00700553479871403	0.00187945585347023	10	6	0.00580914603198246	0.0159442518750157
Family.Bacteriovoracaceae	treatment.group	B	-0.0121793998422328	0.00333407226448748	10	5	0.00646617365034322	0.0173778416852974
Genus.Corynebacterium	treatment.group	B	0.0184815895835527	0.00513372946865918	10	10	0.00698197530555391	0.0183811186615603
Family.Aeromonadaceae	treatment.group	B	-0.00745984724399466	0.00208223052534141	10	5	0.00716089225452556	0.018475102016676
Class.BD1.5	treatment.group	B	-0.00599380670950017	0.00168423545955524	10	5	0.00741400185619935	0.0187530635186219
Genus.Ruminococcus	treatment.group	B	0.0568070800484989	0.0169779366443408	10	10	0.0101413303859862	0.0251583003806197
Genus.Desulfovibrio	treatment.group	B	0.0239692566960392	0.00830029592004328	10	10	0.0202687202002613	0.04933330011007
Genus.Allobaculum	treatment.group	B	0.0551020074415097	0.0207009312126072	10	10	0.0287245981888748	0.068619873451201
Genus.Cytophaga	treatment.group	B	-0.012343451197795	0.00500794666186714	10	4	0.0390272240101154	0.0899019981661586
Genus.Pedobacter	treatment.group	B	-0.00507364574540191	0.00205305220794126	10	4	0.0386338963090084	0.0899019981661586
Family.Methylophilaceae	treatment.group	B	-0.00491737212932611	0.00205202166713063	10	4	0.0434230368238042	0.0982731886012411
Family.Pseudomonadaceae	treatment.group	B	-0.00849585084405101	0.00360132029793038	10	4	0.0460233100758955	0.101115915217149
Genus.Elizabethkingia	treatment.group	B	-0.00548419650022684	0.00232776747405493	10	4	0.0462468139365256	0.101115915217149
Genus.Roseburia	treatment.group	B	0.0209905049781359	0.00918819653983583	10	7	0.0517062445132444	0.111168425703476
Genus.Sphingobacterium	treatment.group	B	-0.00427438678129301	0.00188020263666362	10	4	0.0526133848719271	0.111264371286534
Order.Bacteroidales	treatment.group	B	-0.00497339371871966	0.00222348395128455	10	4	0.0557065932137564	0.115905653622171
Family.Erysipelotrichaceae	treatment.group	B	0.0116557685738581	0.00548154420947547	10	6	0.0661662679029462	0.135483310467937
Genus.Roseivivax	treatment.group	B	0.00536495112775867	0.00267025413911315	10	2	0.0793822407697315	0.16000482905149
Genus.Paludibacter	treatment.group	B	-0.00671002159461918	0.0033995340388428	10	4	0.0838484826456099	0.166406988635133
Genus.Rhodobacter	treatment.group	B	-0.00452755397908753	0.00247079853217943	10	6	0.10424891698737	0.20375924683895
Genus.Clostridium	treatment.group	B	0.021154519880847	0.0125012524602286	10	7	0.129068533101849	0.248505086121471
Genus.Turicibacter	treatment.group	B	-0.00413784924301399	0.00258380376408298	10	3	0.147943485685508	0.28065749490339
Class.Mollicutes	treatment.group	B	0.00348001985082858	0.00220835028804983	10	3	0.153710672467828	0.287372126787679
Order.HOC36	treatment.group	B	-0.00368314435351449	0.00235352288854299	10	7	0.15622578079382	0.287901796034326
Genus.rc4.4	treatment.group	B	0.00314129068839263	0.00206997378822889	10	3	0.167604529673514	0.304520906026525
Genus.Enterococcus	treatment.group	B	-0.0207523121641155	0.0145300689880341	10	6	0.19107878611936	0.337659772731471
Genus.Collinsella	treatment.group	B	0.00722843176141146	0.00506005603773195	10	3	0.190996470132594	0.337659772731471
Genus.Wolbachia	treatment.group	B	-0.025895506507519	0.0204714348379144	10	5	0.241487971177941	0.383108089568975
Genus.Rickettsia	treatment.group	B	-0.0147948863205823	0.0117752646670875	10	2	0.244403480600413	0.383108089568975
Genus.Shigella	treatment.group	B	-0.00618377703482755	0.00501361355616616	10	2	0.252435562894286	0.383108089568975
Order.Streptophyta	treatment.group	B	-0.00510793266631204	0.00404353467546784	10	2	0.242075356964304	0.383108089568975
Genus.Dechloromonas	treatment.group	B	-0.00303749533229495	0.00240999982465385	10	2	0.243053718454224	0.383108089568975
Genus.Allochromatium	treatment.group	B	-0.00145651749204334	0.00118088200459256	10	2	0.252429307248309	0.383108089568975
Class.Gemm.1	treatment.group	B	-0.00151671954579507	0.00121623268699857	10	2	0.247645164061904	0.383108089568975
Family.mitochondria	treatment.group	B	-0.00248300960258324	0.00196429628727097	10	2	0.241790200810981	0.383108089568975
Genus.Propionibacterium	treatment.group	B	-0.00148592628696986	0.00117476529857153	10	2	0.241517691666848	0.383108089568975
Genus.Pseudomonas	treatment.group	B	-0.00233062243771498	0.00184569104656208	10	2	0.24224513323602	0.383108089568975
Genus.Bdellovibrio	treatment.group	B	-0.00139134832596667	0.00110302440689641	10	2	0.242703962809652	0.383108089568975
Genus.Sporolactobacillus	treatment.group	B	-0.00169172016187397	0.00135731281561416	10	2	0.247884867030783	0.383108089568975
Order.Flavobacteriales	treatment.group	B	-0.00243492954727247	0.00199892517014515	10	2	0.257881907504042	0.386822861256063
Genus.Sphingomonas	treatment.group	B	-0.00560433329284109	0.00466765399885789	10	2	0.264219493769343	0.387679070346534
Genus.Dokdonella	treatment.group	B	-0.00244370518745552	0.00205032087116859	10	6	0.267468505897996	0.387679070346534
Family.Flavobacteriaceae	treatment.group	B	-0.00172003443294937	0.00144305071143158	10	2	0.267439445017607	0.387679070346534
Genus.Dialister	treatment.group	B	0.0117199668233461	0.0100893497385539	10	2	0.278873779490718	0.395326566530798
Genus.Catenibacterium	treatment.group	B	0.0108650881275702	0.00933486886903576	10	2	0.277989968173937	0.395326566530798
Genus.Bacillus	treatment.group	B	0.0114354111455676	0.0101723589186443	10	5	0.293540286085276	0.407948807735514
Genus.Ralstonia	treatment.group	B	-0.0101867443294799	0.00907295392637038	10	3	0.29410262883258	0.407948807735514
Order.Actinomycetales	treatment.group	B	0.00381963841769098	0.00357638698584568	10	2	0.316678503401525	0.434590712114859
Genus.Faecalibacterium	treatment.group	B	0.0176456856709456	0.0169008552374487	10	6	0.326972398948295	0.443994099624527
Genus.Phascolarctobacterium	treatment.group	B	0.00341589140773996	0.00341118336578565	10	2	0.345965662432014	0.464891358893019
Family.Nocardioidaceae	treatment.group	B	-0.00709053420553738	0.00750745426120845	10	4	0.372577979767431	0.495490302989676
Genus.Clostridium	treatment.group	B	0.00648613864544557	0.00699305757624978	10	7	0.380792937226917	0.496184736386589
Genus.Nitrospira	treatment.group	B	-0.00172412655811328	0.00184747715920489	10	4	0.37800580031378	0.496184736386589
Family.Neisseriaceae	treatment.group	B	0.00308449776262964	0.00342160914505563	10	2	0.393665206889054	0.50782811688688
Genus.Streptococcus	treatment.group	B	0.00907501257175278	0.0101587584913504	10	5	0.397762243736593	0.50803296477248
Family.Peptostreptococcaceae	treatment.group	B	0.00744463024149409	0.00856336222064646	10	8	0.409974735793197	0.513463504051674
Genus.Rothia	treatment.group	B	0.00429991152603405	0.00492521879308364	10	2	0.408081193176227	0.513463504051674
Genus.Blautia	treatment.group	B	0.0122603723364818	0.014511994250088	10	3	0.422742862866252	0.524363743362947
Genus.Stenotrophomonas	treatment.group	B	-0.0121510229897806	0.0146979690574367	10	8	0.432363216653616	0.528854465121819
Genus.Rhodococcus	treatment.group	B	-0.00431942325051296	0.00525088170401023	10	4	0.43456258374351	0.528854465121819
Genus.Phyllobacterium	treatment.group	B	-0.00387611968542309	0.00525273934248483	10	4	0.481643228930909	0.580672677869975
Genus.Jeotgalicoccus	treatment.group	B	0.00212456803449557	0.0030336893916837	10	5	0.503578814088034	0.601496916827374
Genus.Bacteroides	treatment.group	B	0.00816061301058977	0.0121162163505275	10	4	0.519591979017061	0.614929956818357
Genus.Veillonella	treatment.group	B	0.0019404902408445	0.00312134747544504	10	2	0.551450452884434	0.640874850649478
Genus.Achromobacter	treatment.group	B	0.00163198220962187	0.00259722442677778	10	2	0.547286247943939	0.640874850649478
Genus.Granulicatella	treatment.group	B	0.00235588208534515	0.00388491939298868	10	2	0.561047260677438	0.646057301235607
Genus.Megamonas	treatment.group	B	0.0014889602654679	0.00248693008979279	10	3	0.565926163097857	0.646057301235607
Genus.Neisseria	treatment.group	B	0.00154241552241356	0.00276659453308675	10	2	0.592429205786233	0.665480336464158
Genus.Coprobacillus	treatment.group	B	0.00113073473063486	0.00203280719276987	10	2	0.593257664289753	0.665480336464158
Genus.Parabacteroides	treatment.group	B	-0.00239140612659038	0.0048987687425268	10	3	0.638531389430248	0.704021788346171
Genus.Shewanella	treatment.group	B	-0.00183813544552667	0.00374656831256275	10	6	0.636869609572927	0.704021788346171
Genus.Staphylococcus	treatment.group	B	0.0032628440283539	0.00841621166558703	10	8	0.708359935457061	0.774213934021597
Genus.Serratia	treatment.group	B	0.00192445566588831	0.00507112688523623	10	3	0.714197349988915	0.774213934021597
Genus.Proteus	treatment.group	B	-0.00087661632880666	0.00279703951884087	10	3	0.761985761395558	0.805706255901861
Order.DRC31	treatment.group	B	0.000474893439806518	0.00147560188531343	10	2	0.755829586142559	0.805706255901861
Family.Xanthomonadaceae	treatment.group	B	0.000551355674738318	0.00170122311037648	10	2	0.754178229537301	0.805706255901861
Genus.Brevibacterium	treatment.group	B	-0.000869236068953694	0.00291943186025722	10	2	0.773486056488195	0.81121708363396
Genus.Paenibacillus	treatment.group	B	-0.000423110392032915	0.00205282271559893	10	2	0.841852455470905	0.875798118997958
Genus.Vibrio	treatment.group	B	0.000569779891428121	0.00355714150389758	10	4	0.87671059034722	0.904765329238331
Genus.Bifidobacterium	treatment.group	B	0.000596335121134557	0.00808369632727357	10	4	0.943004496938047	0.965456984960382
Genus.Lachnospira	treatment.group	B	-0.000495656938534712	0.0083019014935584	10	2	0.953855862272612	0.968877214434385
Phylum.Bacteroidetes	treatment.group	B	-8.43571984993452e-05	0.00259785714230593	10	2	0.974891307396133	0.982507645735166
Genus.Gemmiger	treatment.group	B	-0.000145051195575679	0.011124251615729	10	5	0.989915839878752	0.989915839878752
