feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Genus.Enhydrobacter	responder	Resp	-0.106018180035056	0.0218845237521867	12	12	0.000676985980560797	0.119247738407855
Genus.Salipaludibacillus	responder	Resp	-0.0359594965414621	0.00798800810859754	12	12	0.00114013259488596	0.119247738407855
Genus.Lachnospiraceae_NK4A136_group	responder	Resp	-0.0281890608585891	0.00600140047724656	12	12	0.0008453021329059	0.119247738407855
Genus.Collinsella	responder	Resp	-0.0234112810667307	0.00542033677766992	12	8	0.00151512567799564	0.119247738407855
Genus.Legionella	responder	Resp	-0.0202981274541346	0.00472388911585604	12	5	0.00156904918957705	0.119247738407855
Genus.Alloprevotella	responder	Resp	-0.0345531987358	0.00923948252061356	12	9	0.00384823234253487	0.243721381693875
Genus.Rhodobacter	responder	Resp	0.0205384650525688	0.0057408818054418	12	8	0.00503190566528181	0.273160593258155
Genus.Muribaculaceae	responder	Resp	-0.056002633133595	0.0160694433390035	12	12	0.00587151179979519	0.273719441488905
Genus.uncultured	responder	Resp	-0.0203821018087731	0.0059493998992958	12	8	0.00648282887736881	0.273719441488905
Genus.Alkanindiges	responder	Resp	-0.0518418137360251	0.0157739005323131	12	12	0.00819759126014735	0.283189516259636
Genus.Cetobacterium	responder	Resp	-0.0326045529328056	0.00989946913600926	12	6	0.00810106990371953	0.283189516259636
Genus.Alistipes	responder	Resp	-0.0289059829700157	0.00919262958773697	12	12	0.0104305100199307	0.330299483964472
Genus.Blastococcus	responder	Resp	-0.0304436191377038	0.0100752014671611	12	7	0.0128594253497363	0.349041545207129
Genus.Christensenellaceae_R.7_group	responder	Resp	-0.0247903145429368	0.00810705474232353	12	9	0.012088332014382	0.349041545207129
Genus.uncultured	responder	Resp	-0.0275393110763574	0.00958763101786151	12	8	0.0166009140759954	0.420556489925216
Genus.uncultured	responder	Resp	-0.0368104451267842	0.0133804077489061	12	8	0.0204406568713091	0.485465600693592
Genus.Bacteroides	responder	Resp	-0.0764442816397857	0.0297027324160033	12	12	0.0277168370846041	0.501542766292836
Genus.Brevundimonas	responder	Resp	-0.027836194358636	0.0104485464197566	12	12	0.023730815048361	0.501542766292836
Genus.Fictibacillus	responder	Resp	-0.0289854186604022	0.011129076908698	12	5	0.026288790460499	0.501542766292836
Genus.Xanthomonas	responder	Resp	-0.0370323099835286	0.0142419835932818	12	7	0.0264814371078205	0.501542766292836
Genus.Desulfovibrio	responder	Resp	-0.032556117726434	0.0123044350982474	12	9	0.0244853994540031	0.501542766292836
Genus.Romboutsia	responder	Resp	-0.0249073342101938	0.00990886062760623	12	12	0.0307202390949038	0.530622311639248
Genus.Bradyrhizobium	responder	Resp	-0.0239948752446916	0.0102779734088462	12	7	0.0417224083266907	0.634180606565699
Genus.Pedomicrobium	responder	Resp	-0.0291595364151419	0.0124894527098986	12	6	0.0417123934201454	0.634180606565699
Genus.Ileibacterium	responder	Resp	-0.0228546267500107	0.00978716930991609	12	8	0.0416818922508454	0.634180606565699
Genus.Finegoldia	responder	Resp	0.0868792257481344	0.0384598483160696	12	12	0.0474523080606633	0.659149878046158
Genus.Negativicoccus	responder	Resp	0.0473944680412592	0.0212504622134225	12	7	0.0498188638433058	0.659149878046158
Family.Xanthobacteraceae	responder	Resp	-0.0224393526925303	0.00993430645937672	12	11	0.0474672337061414	0.659149878046158
Genus.UCG.002	responder	Resp	-0.0215409931051506	0.0100276531422488	12	11	0.0572419630934821	0.659149878046158
Genus.Lachnoclostridium	responder	Resp	-0.0129573086917091	0.0058561934199428	12	12	0.051335676547038	0.659149878046158
Genus.Thermovirga	responder	Resp	-0.0121851298288589	0.00565212109103496	12	5	0.0565038796053834	0.659149878046158
Genus.Lineage_IIa	responder	Resp	-0.00708209862348171	0.00324741161800173	12	4	0.054168136906015	0.659149878046158
Genus.Ellin516	responder	Resp	-0.0111399353438424	0.00517112873407961	12	4	0.0566561539181544	0.659149878046158
Genus.Tetragenococcus	responder	Resp	0.0413439390331077	0.0202079045034318	12	12	0.0679698229937369	0.713011901467977
Genus.Sphingomonas	responder	Resp	-0.0339514957946919	0.0171992387912738	12	12	0.076631867748414	0.713011901467977
Genus.Weissella	responder	Resp	0.0170935648350691	0.0084520924281928	12	11	0.0706956887481878	0.713011901467977
Genus.11.24	responder	Resp	-0.0220766772410766	0.0110633997113448	12	9	0.0739440466845259	0.713011901467977
