feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Genus..Eubacterium._eligens_group	responder	Resp	0.0241503578389856	0.00429295725405768	12	9	0.000219754254707237	0.0777930061663619
Genus.Lactobacillus	responder	Resp	-0.0841843370456592	0.048326081233273	12	12	0.112120615295103	0.75626072125502
Genus.Finegoldia	responder	Resp	0.0566703555852274	0.0362419439132007	12	12	0.148961227160424	0.75626072125502
Genus.Enhydrobacter	responder	Resp	-0.147545110535921	0.088950212751209	12	12	0.128158935471518	0.75626072125502
Genus.Actinomyces	responder	Resp	-0.0362175491625135	0.0260973724754534	12	12	0.195345293769498	0.75626072125502
Genus.Fenollaria	responder	Resp	0.0324987405413189	0.0230897676264592	12	9	0.189596278044249	0.75626072125502
Genus.Varibaculum	responder	Resp	0.0365688882989005	0.0242639031267265	12	10	0.162698338435036	0.75626072125502
Genus.Campylobacter	responder	Resp	0.0266381166080736	0.013558917605739	12	6	0.0778369635667797	0.75626072125502
Genus.Negativicoccus	responder	Resp	0.0316627839857665	0.0197809081939439	12	8	0.140532111313751	0.75626072125502
Genus.Vibrio	responder	Resp	-0.0360494555564943	0.0196732886546608	12	12	0.0967941067690709	0.75626072125502
Genus.Bacillus	responder	Resp	-0.0713712448394233	0.0282389935426115	12	12	0.0300043097592337	0.75626072125502
Genus.Romboutsia	responder	Resp	-0.0145600438543524	0.00884355790627984	12	12	0.130703262865142	0.75626072125502
Genus.Actinotignum	responder	Resp	0.0276062250699158	0.0186982310239864	12	6	0.170616817348899	0.75626072125502
Genus.Bifidobacterium	responder	Resp	-0.020815350096058	0.0155961615922395	12	12	0.21158322070968	0.75626072125502
Genus.Fusobacterium	responder	Resp	-0.0156602239715656	0.00894238854093306	12	6	0.110460024510313	0.75626072125502
Family.Butyricicoccaceae	responder	Resp	0.0192596677269606	0.0148626187560542	12	10	0.224138820385299	0.75626072125502
Family.Tannerellaceae	responder	Resp	-0.054687023574115	0.0319787442044257	12	11	0.118037018977407	0.75626072125502
Genus.Sphingomonas	responder	Resp	-0.0313166517460468	0.0202398165978356	12	12	0.15283440256855	0.75626072125502
Genus.Lactococcus	responder	Resp	0.0150290192295458	0.00880741949562013	12	11	0.118741427619574	0.75626072125502
Genus.Clostridia_UCG.014	responder	Resp	-0.0263608593751608	0.0200059747505713	12	12	0.217009370551976	0.75626072125502
Genus.Gardnerella	responder	Resp	-0.0571592141983376	0.0348119268753118	12	8	0.131633669928016	0.75626072125502
Genus.Bradyrhizobium	responder	Resp	-0.0546733433383212	0.0398218160956201	12	7	0.199769336411557	0.75626072125502
Genus.Phascolarctobacterium	responder	Resp	-0.00975583213196142	0.00582612436181764	12	12	0.124973424444992	0.75626072125502
Genus.Ruminococcus	responder	Resp	-0.0145860979204207	0.00948898747683158	12	10	0.155269794904189	0.75626072125502
Genus.Pedomicrobium	responder	Resp	-0.0911188988520479	0.0443083263025083	12	7	0.0667805165782184	0.75626072125502
Genus.Microbacteriaceae	responder	Resp	-0.0260359448108462	0.0131833242548723	12	5	0.0765168708041959	0.75626072125502
Genus.Methyloversatilis	responder	Resp	-0.0193655816430058	0.0117011743269023	12	11	0.128922718288869	0.75626072125502
Family.Xanthobacteraceae	responder	Resp	-0.0832786187780397	0.0336489654469381	12	11	0.0328269507666269	0.75626072125502
Genus.Pyramidobacter	responder	Resp	-0.0158946438667552	0.00919461200116034	12	6	0.114556545018993	0.75626072125502
Genus.CAG.352	responder	Resp	0.011993202888872	0.00868802803382696	12	9	0.197528583925428	0.75626072125502
Family.Micromonosporaceae	responder	Resp	-0.0498378869944267	0.0234241129170485	12	10	0.0592571839183424	0.75626072125502
Genus.Anaerostipes	responder	Resp	0.0147518290566235	0.00983053422410823	12	8	0.164351102091713	0.75626072125502
Genus.Alistipes	responder	Resp	-0.0139655181347528	0.00821057572152905	12	12	0.11979258594107	0.75626072125502
Genus.Candidatus_Koribacter	responder	Resp	-0.0505357274545666	0.021232518181032	12	6	0.0386051635663825	0.75626072125502
Genus.Pseudoxanthomonas	responder	Resp	0.0158477163689189	0.0102460984875653	12	5	0.152971177325205	0.75626072125502
Family.Chromobacteriaceae	responder	Resp	0.0214365726123159	0.0127326696727488	12	7	0.123168509379555	0.75626072125502
Genus.11.24	responder	Resp	-0.0677964445924016	0.0301327782407885	12	9	0.0481859106044271	0.75626072125502
Genus.UCG.002	responder	Resp	-0.0202859720597802	0.00665592389122071	12	9	0.0122976401270241	0.75626072125502
Genus.Dorea	responder	Resp	0.0120574084524275	0.00626848916774005	12	11	0.0833261106353898	0.75626072125502
Genus.Novosphingobium	responder	Resp	-0.0135151915518362	0.00624978641424114	12	12	0.0558727802556487	0.75626072125502
Genus.Alloprevotella	responder	Resp	-0.0142402971020325	0.00569461031155626	12	8	0.0314111832412739	0.75626072125502
Genus.Comamonas	responder	Resp	0.025802874311046	0.0116173539580841	12	8	0.0506033129834328	0.75626072125502
Genus.uncultured	responder	Resp	-0.0394331386310156	0.0193347594874565	12	4	0.0687053963798869	0.75626072125502
Genus.uncultured	responder	Resp	-0.0134410017444843	0.00453805087288495	12	4	0.0142431058097128	0.75626072125502
Genus.Exiguobacterium	responder	Resp	0.0188898302821342	0.0111064532119544	12	6	0.119815775395227	0.75626072125502
Genus.Pseudochrobactrum	responder	Resp	0.0125862651724077	0.00686544158151745	12	6	0.0966561077999057	0.75626072125502
Genus.Ochrobactrum	responder	Resp	0.00949825394714335	0.00717790705128116	12	10	0.21520474430585	0.75626072125502
Genus.Conexibacter	responder	Resp	0.0114070018201135	0.00852359631802076	12	4	0.210436165439494	0.75626072125502
